Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
219.,Hindustan Foods,534.65,60.16,6125.66,0.00,28.70,30.22,879.73,20.65,15.38
220.,Sarda Energy,541.05,28.05,19065.59,0.18,200.08,70.51,1319.14,42.55,15.28
221.,BEML Ltd,2553.70,40.63,10634.76,0.80,24.41,-49.36,875.77,-16.35,15.25
222.,Minda Corp,510.45,44.52,12203.81,0.27,64.80,23.45,1252.56,7.44,15.20
223.,Latent View,350.50,43.61,7236.82,0.00,42.62,-9.93,227.84,37.51,15.19
224.,Sandur Manganese,464.65,16.11,7528.95,0.22,126.75,1218.94,481.67,214.78,15.16
225.,Responsive Ind,190.46,26.66,5077.83,0.05,46.95,5.01,367.82,37.62,15.16
226.,EPL Ltd,188.79,20.33,6032.97,2.36,94.10,8.59,1014.30,4.02,15.09
227.,TVS Holdings,8345.50,15.16,16884.70,1.13,685.45,72.12,11458.91,14.43,14.98
228.,Asahi India Glas,584.80,43.70,14216.49,0.34,104.54,29.05,1124.30,7.73,14.97
229.,Kirloskar Oil,652.35,20.02,9469.63,0.92,67.89,-39.07,1453.70,4.49,14.97
230.,Ethos Ltd,2452.35,63.48,6003.46,0.00,29.49,15.56,369.93,31.54,14.91
231.,T R I L,374.25,70.21,11233.71,0.03,55.48,251.51,559.36,51.44,14.81
232.,Olectra Greentec,1038.75,64.79,8526.14,0.04,46.62,71.66,515.37,50.63,14.79
233.,Triven.Engg.Ind.,365.25,37.12,7995.25,0.96,42.57,-69.02,1268.32,-3.27,14.77
234.,CreditAcc. Gram.,923.25,16.72,14735.70,1.08,-99.52,-128.16,1380.38,6.82,14.76
235.,Aptus Value Hou.,296.10,20.90,14799.50,1.52,190.50,20.88,450.05,28.07,14.68
236.,TTK Prestige,599.95,40.02,8316.31,1.00,57.35,-6.84,727.23,-1.51,14.55
237.,JBM Auto,496.85,61.42,11750.22,0.15,56.45,8.18,1396.15,3.71,14.45
238.,Protean eGov,1282.50,56.93,5200.13,0.78,22.93,50.56,202.31,-0.76,14.30
