Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
1055.,Tiger Logistics,42.74,18.35,451.87,0.00,8.42,128.80,160.47,208.89,16.73
1056.,Suyog Gurbaxani,152.00,74.39,377.91,0.00,0.00,,0.23,109.09,16.72
1057.,Sigachi Indust.,36.85,17.73,1228.75,0.27,20.51,27.39,139.42,25.66,16.69
1058.,Inspire,20.25,,27.56,0.00,-3.76,,4.02,-81.12,16.67
1059.,HRH Next,55.95,30.91,73.88,0.00,2.06,,29.04,35.76,16.66
1060.,Motisons Jewel,16.89,39.20,1662.75,0.00,15.30,41.93,145.30,17.93,16.65
1061.,Panasonic Carbon,479.75,11.17,230.28,2.50,4.99,3.74,13.25,1.77,16.63
1062.,Kalyani Steels,739.10,13.65,3226.40,1.35,55.39,-15.22,484.01,0.89,16.63
1063.,Satin Creditcare,142.12,5.37,1570.01,0.00,14.26,-87.39,684.07,14.86,16.63
1064.,Kahan Packaging,53.82,14.79,14.64,0.00,0.54,,14.16,16.35,16.63
1065.,Krishanveer Forg,81.89,17.13,89.59,2.44,1.21,-17.69,18.43,-19.90,16.62
1066.,Cybertech Sys.,146.76,14.10,456.87,1.36,9.04,64.66,58.57,7.23,16.62
1067.,Shri Venkatesh,216.00,32.20,477.78,0.46,7.21,108.99,308.32,7.32,16.62
1068.,Medicamen,26.00,12.68,30.42,0.00,1.51,,16.61,46.73,16.62
1069.,Indo Amines,109.71,14.49,775.62,0.46,11.31,15.17,258.84,33.46,16.61
1070.,Ramdevbaba Sol.,108.00,15.35,238.95,0.00,8.06,,401.72,36.30,16.59
1071.,Shree TirupatiBa,54.46,15.17,444.23,0.00,8.15,27.44,142.66,-9.25,16.59
1072.,Yaan Enterprises,66.44,42.92,20.60,0.00,0.19,-13.64,1.72,-32.02,16.57
1073.,Cont. Petroleums,120.95,12.46,67.26,0.00,1.41,90.54,29.40,211.77,16.56
1074.,Paushak,4040.30,21.46,1245.27,0.50,15.26,11.96,49.26,-4.92,16.54
1075.,Prime Securities,212.94,19.69,715.96,0.47,8.20,3.40,21.18,18.26,16.54
1076.,Optimus Finance,230.90,27.00,172.54,0.00,2.96,1.73,37.29,42.71,16.54
1077.,Savera Industrie,135.00,15.04,161.06,2.22,2.02,-25.19,19.29,10.42,16.53
1078.,BLS E-Services,151.06,27.63,1372.48,0.00,14.01,75.20,127.63,78.13,16.52
1079.,Guj. Ambuja Exp,101.70,15.07,4664.68,0.34,71.86,-28.61,1130.88,-13.13,16.51
1080.,Lancer Containe.,17.04,9.10,426.67,0.00,4.08,-70.96,203.97,35.47,16.51
1081.,Winny Immigratio,266.00,148.00,57.72,0.00,-1.99,,4.27,-6.15,16.49
1082.,Saven Tech.,45.62,18.45,49.63,4.38,0.76,-6.17,3.81,16.51,16.48
1083.,Best Agrolife,283.90,34.80,671.27,1.06,-24.16,-265.51,274.11,-12.84,16.48
1084.,Gowra Leasing,63.42,11.23,34.59,0.00,1.80,462.50,1.52,149.18,16.43
1085.,Goyal Aluminiums,8.41,44.30,120.04,0.00,0.90,13.92,19.86,33.74,16.42
1086.,Harshil Agrotech,5.83,36.92,414.63,0.00,5.48,2640.00,25.73,714.24,16.41
1087.,Manoj Vaibhav,195.97,10.16,957.26,0.00,25.24,33.12,497.63,4.74,16.41
1088.,Zee Learn,6.13,5.48,200.49,0.00,-3.76,-93.81,74.74,10.35,16.40
1089.,Konstelec Engg.,66.00,10.06,99.66,0.00,3.24,,84.44,-9.18,16.39
1090.,Mindteck (India),167.96,18.02,536.00,0.48,7.93,10.29,104.02,8.64,16.37
1091.,Vinyoflex,67.26,9.28,29.05,0.00,1.12,-5.08,12.20,-9.83,16.36
1092.,Nikhil Adhesives,88.62,24.83,407.15,0.23,3.50,18.24,134.21,3.01,16.35
1093.,ITL Industries,352.05,11.41,112.81,0.28,2.28,8.57,43.64,18.75,16.35
1094.,Maiden Forgings,58.50,8.67,83.14,0.00,4.05,,109.09,-5.55,16.35
1095.,Mish Designs,92.00,34.50,28.29,0.00,0.26,,6.10,42.86,16.35
1096.,Subros,550.25,26.64,3589.60,0.33,32.92,22.56,820.98,12.08,16.34
1097.,Euro Panel,148.50,23.20,363.83,0.00,7.72,,199.67,5.48,16.33
1098.,Rudra Global,31.71,19.50,318.19,0.00,1.58,-12.71,148.38,2.82,16.32
1099.,Tara Chand Infra,57.23,19.36,451.11,0.35,5.24,56.42,64.36,45.09,16.31
1100.,Swarna Securitie,73.99,26.12,22.20,0.00,0.27,35.00,0.00,,16.30
1101.,Khandelwal Extra,98.71,24.68,8.39,0.00,0.09,-30.77,0.17,-15.00,16.29
1102.,Arihant Super.,382.15,25.85,1572.93,0.31,25.45,63.04,150.77,26.45,16.28
1103.,Swaraj Suiting,162.85,13.64,307.82,0.00,9.85,,161.51,13.05,16.28
1104.,Abhinav Capital,108.10,30.55,74.85,0.00,0.43,-73.46,1.26,-62.39,16.27
1105.,Zodiac Vent.,9.82,90.02,36.91,2.55,0.22,633.33,0.71,,16.25
1106.,Navneet Educat.,134.27,14.50,3037.36,1.94,15.81,96.06,282.34,9.11,16.24
1107.,AAA Technologies,67.80,33.19,86.97,0.74,0.55,-62.33,6.94,25.95,16.19
1108.,United Heat,56.70,32.36,107.75,0.00,3.06,,28.41,,16.17
1109.,Weizmann,107.63,24.74,170.69,0.46,1.99,-18.78,28.58,0.56,16.16
1110.,Eveready Inds.,301.25,27.35,2189.70,0.33,13.10,55.77,333.50,9.38,16.15
1111.,Heritage Foods,373.30,18.17,3464.07,0.67,43.05,60.04,1033.94,9.87,16.15
1112.,SagarSoft (India,158.75,15.59,101.48,1.26,1.17,-67.23,33.89,-24.40,16.15
1113.,Capacit'e Infra.,332.70,13.95,2814.78,0.00,52.30,76.16,590.49,22.84,16.14
1114.,RBZ Jewellers Lt,138.09,16.77,552.36,0.00,13.09,93.07,193.81,67.37,16.13
