Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
374.,G S F C,205.62,15.52,8193.49,1.95,298.23,-3.46,2635.17,-15.50,5.77
375.,Sunflag Iron,290.95,35.52,5243.48,0.00,40.80,5.21,865.74,0.90,5.69
376.,Nazara Technolo.,1014.10,93.37,7762.09,0.00,16.24,-1.86,318.94,7.30,5.53
377.,Nuvoco Vistas,352.80,256.89,12600.47,0.00,-85.17,-5666.67,2268.58,-11.83,5.42
378.,Zydus Wellness,1981.65,40.16,12609.66,0.25,20.90,166.10,492.90,12.05,5.33
379.,Shilpa Medicare,839.45,142.92,8209.06,0.00,17.95,1042.68,343.80,9.85,5.25
380.,Niva Bupa Health,83.33,186.01,15224.61,0.00,13.02,271.54,1321.28,36.35,4.85
381.,Just Dial,1064.20,29.05,9049.99,0.00,154.07,390.04,284.83,9.29,4.81
382.,Sterlite Tech.,116.56,,5685.95,0.00,-14.00,-150.00,1413.00,-5.42,4.80
383.,Brookfield India,281.31,204.12,17096.68,,25.23,1187.24,590.20,47.66,4.80
384.,TVS Supply,176.13,261.60,7769.51,0.00,10.61,132.26,2512.88,11.05,4.74
385.,PVR Inox,1302.15,,12787.11,0.00,-12.10,-107.10,1622.10,-18.89,4.69
386.,Sunteck Realty,504.30,49.57,7387.44,0.30,34.63,348.42,169.05,577.83,4.66
387.,Sharda Cropchem,836.55,34.66,7547.40,0.36,42.42,253.77,776.89,33.77,4.27
388.,Cartrade Tech,1666.35,84.98,7893.01,0.00,30.73,100.87,154.21,28.50,4.20
389.,Inox Wind Energy,10026.05,211.24,12078.96,0.00,84.45,158.74,733.01,97.36,4.15
390.,Sterling & Wils.,469.55,,10963.73,0.00,8.57,113.00,1030.49,35.68,3.77
391.,Greaves Cotton,278.55,,6475.77,0.72,-14.33,-79.29,705.31,-2.94,3.72
392.,Inox Green,172.67,216.80,6337.28,0.00,6.06,79.88,55.18,16.44,3.67
393.,Eureka Forbes,601.25,89.21,11627.64,0.00,46.67,74.72,672.87,13.60,3.46
394.,Prism Johnson,170.46,,8580.27,0.00,-103.67,-702.93,1685.38,-8.29,3.45
395.,Rajesh Exports,232.68,179.47,6870.11,0.00,45.56,0.55,66923.67,75.81,3.23
396.,RattanIndia Ent,64.27,12.41,8883.85,0.00,-241.59,-227.06,1800.62,11.52,2.89
397.,National High,132.00,68.41,17321.05,,74.50,-0.69,566.77,140.25,2.82
398.,Maple Inf. Trust,144.00,,5071.25,,,,,,2.70
399.,Akums Drugs,633.85,,9976.42,0.00,66.66,49.63,1033.09,-12.54,2.40
400.,Mahindra Life.,464.90,60.00,7209.95,0.57,-14.01,25.99,7.61,-57.18,2.01
401.,Pilani Invest.,5425.10,30.47,6006.81,0.28,77.70,43.36,122.83,15.18,2.01
402.,SignatureGlobal,1397.40,362.14,19634.96,0.00,4.16,120.62,749.29,660.47,1.94
403.,TARC Ltd,186.06,,5490.56,0.00,-67.36,-6394.39,4.31,-85.50,1.91
404.,Rain Industries,178.27,,5996.11,0.56,-154.94,-135.65,3934.28,-5.43,1.90
405.,SpiceJet,55.74,,7144.12,0.00,149.96,-26.69,1695.52,-15.30,1.64
406.,Graphite India,570.30,24.07,11142.27,1.93,194.00,531.51,643.00,-18.92,1.44
407.,Reliance Power,45.80,,18397.73,0.00,2878.15,17.87,1759.81,-13.64,1.43
408.,Mah. Scooters,9738.05,63.74,11129.20,1.75,151.16,-23.55,163.17,-20.76,0.88
409.,Cube Highways,120.60,197.71,16093.45,,-26.03,-28.99,1682.01,11.39,0.72
410.,JSW Holdings,17765.40,82.09,19719.59,0.00,119.64,89.30,162.18,81.88,0.70
411.,V-Mart Retail,3745.65,,7415.28,0.00,-56.51,11.87,660.97,20.30,0.54
412.,Max Estates,591.25,,9518.79,0.00,-1.38,69.40,40.18,96.10,0.46
413.,Sequent Scien.,203.57,239.42,5095.40,0.00,6.34,-4.65,368.65,6.56,0.44
414.,Unichem Labs.,725.55,102.06,5108.29,0.00,30.49,224.50,462.16,11.20,0.39
415.,Netwrk.18 Media,72.80,,11225.76,0.00,-152.31,-15.36,1825.18,-2.16,-0.26
416.,India Cements,378.20,,11720.31,0.00,-338.72,-59.03,1031.80,-18.40,-0.78
417.,PC Jeweller,15.31,539.73,8268.74,0.00,178.88,229.50,504.97,12.42,-1.74
