Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
120.,Indus Towers,344.00,12.29,92705.83,0.00,2223.50,71.74,7465.30,4.67,22.08
121.,Pfizer,5223.35,39.04,23895.64,0.67,158.35,6.30,588.59,2.33,21.98
122.,Maruti Suzuki,11934.25,26.76,375215.89,1.05,3102.50,-18.06,37449.20,0.29,21.82
123.,Deepak Nitrite,2452.70,42.10,33453.12,0.31,194.20,-5.31,2032.00,14.28,21.65
124.,Cochin Shipyard,1598.25,47.42,42046.89,0.61,193.07,1.08,1096.98,14.96,21.62
125.,Guj.St.Petronet,367.05,13.83,20709.38,1.36,423.17,-38.04,3992.12,-6.40,21.46
126.,H P C L,413.05,20.93,87889.71,5.08,142.67,-97.55,99977.12,4.41,21.26
127.,Jyoti CNC Auto.,1370.00,113.51,31156.96,0.00,75.88,352.74,430.67,42.47,21.22
128.,Adani Total Gas,727.65,113.99,80027.68,0.03,185.60,7.48,1218.65,11.23,21.20
129.,I O C L,138.14,11.41,195070.79,8.69,-448.78,-104.63,174976.12,-2.38,21.14
130.,Vedanta,458.25,17.32,179193.53,9.49,5603.00,522.41,37634.00,-3.37,20.91
131.,ZF Commercial,11730.70,54.35,22241.41,0.14,109.34,4.80,906.70,-7.56,20.90
132.,Sumitomo Chemi.,536.95,55.44,26801.63,0.17,190.84,32.82,971.35,7.51,20.83
133.,Motil.Oswal.Fin.,971.20,17.19,58201.94,0.36,1121.80,110.86,2837.83,71.49,20.69
134.,K P R Mill Ltd,1023.25,43.23,34976.12,0.49,205.00,1.57,1480.02,-2.05,20.62
135.,Bosch,34253.55,50.44,101026.19,1.09,535.90,23.94,4394.30,6.40,20.61
136.,Gujarat Gas,514.15,28.89,35393.58,1.10,306.93,3.07,3781.75,-1.66,20.51
137.,Chambal Fert.,500.30,13.01,20044.63,1.50,536.36,40.79,4346.18,-19.30,20.21
138.,Welspun Corp,814.35,19.43,21364.42,0.61,282.96,-24.16,3301.83,-18.66,20.19
139.,Carborundum Uni.,1299.70,62.06,24744.41,0.31,116.16,13.72,1224.12,6.79,20.13
140.,Tata Motors,790.40,8.69,290956.11,0.38,3450.00,-12.93,101450.00,-3.50,20.11
141.,BSE,5339.75,87.81,72287.59,0.28,345.77,192.01,813.30,124.66,19.97
142.,Uno Minda,1066.55,67.87,61237.44,0.19,266.16,6.33,4244.79,17.22,19.94
143.,Honeywell Auto,43082.80,72.17,38085.20,0.23,115.10,-5.58,1023.90,-7.27,19.85
144.,ICICI Securities,838.00,13.24,27240.64,3.46,529.04,24.88,1706.65,36.64,19.74
145.,Alkem Lab,5502.65,30.27,65792.43,0.73,701.96,4.59,3414.67,-0.74,19.68
146.,Metro Brands,1268.20,83.29,34503.02,0.39,71.77,4.29,585.45,5.35,19.66
147.,Avenue Super.,4025.20,97.49,261933.07,0.00,659.44,5.79,14444.50,14.42,19.41
148.,Global Health,1089.10,59.95,29251.85,0.00,130.81,4.51,956.56,13.34,19.32
149.,Godrej Consumer,1116.65,63.17,114234.17,1.34,491.31,12.18,3666.33,1.79,19.02
150.,Himadri Special,591.60,60.60,29206.18,0.08,135.70,34.53,1136.92,13.18,18.81
151.,Suven Pharma,1101.65,115.47,28044.15,0.00,81.98,3.04,257.72,11.54,18.78
152.,Amara Raja Ener.,1189.90,22.54,21778.19,0.83,240.71,6.32,3135.83,11.55,18.74
153.,PG Electroplast,1016.65,150.09,28780.72,0.02,19.33,56.27,671.30,45.80,18.72
154.,Rail Vikas,432.10,70.41,90093.72,0.49,302.51,-18.26,4869.22,-0.83,18.70
155.,Emcure Pharma,1465.00,55.14,27751.77,0.00,201.55,37.65,2001.98,20.38,18.62
156.,Sundram Fasten.,1071.55,41.20,22516.31,0.64,143.84,8.05,1486.04,4.52,18.54
157.,O N G C,258.89,7.82,325690.85,4.73,9878.44,-27.59,158329.10,7.26,18.43
158.,Ircon Intl.,216.60,22.11,20371.57,1.43,205.92,-17.87,2447.52,-18.06,18.15
159.,Hindustan Copper,250.23,60.13,24197.84,0.37,101.68,67.21,518.19,35.87,17.99
160.,Hitachi Energy,15131.40,321.71,64129.41,0.03,52.29,111.36,1553.74,26.53,17.85
161.,Star Health Insu,482.95,32.92,28381.97,0.00,111.29,-11.18,4058.37,17.25,17.69
162.,Oil India,481.10,9.33,78256.10,2.18,2069.16,37.27,7247.03,-3.33,17.67
163.,Balkrishna Inds,2818.70,33.45,54490.32,0.57,346.94,-0.14,2419.74,7.39,17.62
164.,Tata Comm,1736.55,60.51,49491.68,0.96,227.27,-2.32,5767.35,18.37,17.55
165.,Linde India,6329.20,123.40,53975.42,0.06,104.39,-2.17,634.42,-10.81,17.36
166.,Sun Pharma.Inds.,1849.65,39.60,443792.99,0.73,3037.33,27.86,13291.39,9.01,17.32
167.,ACC,2054.95,20.85,38589.34,0.36,199.70,-42.45,4613.52,4.03,17.27
168.,Natl. Aluminium,208.00,13.40,38201.94,2.40,1062.18,414.97,4001.48,31.48,16.95
169.,F A C T,973.35,594.74,62982.75,0.10,11.18,-90.37,1448.63,-12.90,16.94
170.,Thermax,4139.70,77.76,49327.13,0.29,198.00,24.92,2611.59,13.43,16.93
171.,Wipro,294.45,26.26,308266.62,0.17,3226.60,21.26,22301.60,-0.95,16.93
172.,Krishna Institu.,627.70,75.80,25116.72,0.00,120.70,16.71,777.30,19.13,16.87
173.,Endurance Tech.,2192.10,40.08,30834.70,0.39,202.98,31.33,2912.66,14.45,16.60
174.,Kansai Nerolac,261.90,34.65,21172.15,0.95,119.76,-31.75,1951.37,-0.26,16.56
175.,Nuvama Wealth,7012.00,30.13,25156.29,2.06,257.31,77.50,1051.35,42.99,16.54
176.,Divi's Lab.,6048.30,87.45,160563.36,0.50,510.00,46.55,2338.00,22.47,16.48
177.,Apollo Tyres,511.95,21.44,32513.99,1.17,297.46,-37.58,6437.03,2.51,16.45
178.,JSW Infrast,330.55,55.81,69415.55,0.17,373.73,46.03,1001.36,18.04,16.41
